1.438537170410156250e+03 2.126872824918951665e+03 1.369241708025185522e+00
1.438557983398437500e+03 2.125075852946264604e+03 1.369680649159083163e+00
1.438578796386718750e+03 2.124273408888220729e+03 1.369375211505882373e+00
1.438599670410156250e+03 2.131262914320680011e+03 1.369957216457956317e+00
1.438620483398437500e+03 2.128122714887060283e+03 1.368586538299956024e+00
1.438641296386718750e+03 2.128998109207353082e+03 1.369338517845637870e+00
1.438662170410156250e+03 2.129376757859881764e+03 1.370103701404805863e+00
1.438682983398437500e+03 2.126229215122100413e+03 1.369956259272850696e+00
1.438703796386718750e+03 2.128669366883354542e+03 1.369901916167071132e+00
1.438724670410156250e+03 2.131209387875265747e+03 1.370228420970858174e+00
1.438745483398437500e+03 2.133082341118681143e+03 1.370409629102393723e+00
1.438766296386718750e+03 2.135789040570622547e+03 1.370127541250749204e+00
1.438787170410156250e+03 2.137874760320812584e+03 1.370400190864233370e+00
1.438807983398437500e+03 2.133554382877869557e+03 1.369946600367540457e+00
1.438828796386718750e+03 2.134406551458229842e+03 1.369866977067008440e+00
1.438849670410156250e+03 2.137535225015424658e+03 1.370579462786545522e+00
1.438870483398437500e+03 2.132134237819743703e+03 1.370462995244613902e+00
1.438891296386718750e+03 2.135264382169184955e+03 1.370309589169758757e+00
1.438912170410156250e+03 2.132673147114362564e+03 1.369883641780060612e+00
1.438932983398437500e+03 2.138155984697237272e+03 1.370564241676001549e+00
1.438953796386718750e+03 2.137806230424304431e+03 1.370423677603785695e+00
1.438974670410156250e+03 2.139322515012624535e+03 1.370404018360354970e+00
1.438995544433593750e+03 2.134243765030597388e+03 1.370110270454853341e+00
1.439016357421875000e+03 2.131177530221043071e+03 1.370085951761061072e+00
1.439037170410156250e+03 2.132572009768859971e+03 1.369598138093017115e+00
1.439058044433593750e+03 2.136259208661298999e+03 1.370329032284955506e+00
1.439078857421875000e+03 2.139435921110976778e+03 1.370111836581340947e+00
1.439099670410156250e+03 2.136230944943162740e+03 1.370957718320320096e+00
1.439120544433593750e+03 2.131644092276161246e+03 1.369626860863557338e+00
1.439141357421875000e+03 2.133259876797380002e+03 1.370116708963409868e+00
1.439162170410156250e+03 2.133052499254132726e+03 1.370610121938908410e+00
1.439183044433593750e+03 2.129471775514756246e+03 1.370603337845132774e+00
1.439203857421875000e+03 2.140119121213016570e+03 1.370785844360986827e+00
1.439224670410156250e+03 2.131552715426583745e+03 1.369651666407925239e+00
1.439245544433593750e+03 2.134448006956115478e+03 1.369814980118734926e+00
1.439266357421875000e+03 2.134824513809126529e+03 1.370430462586940124e+00
1.439287170410156250e+03 2.138490645266696447e+03 1.369939943514780545e+00
1.439308044433593750e+03 2.138066572748351064e+03 1.370721706765591685e+00
1.439328857421875000e+03 2.132395083687949409e+03 1.369747751013059567e+00
1.439349670410156250e+03 2.132362328515127501e+03 1.369371903458214579e+00
1.439370544433593750e+03 2.135489674760045091e+03 1.370280880710042615e+00
1.439391357421875000e+03 2.123001524405378404e+03 1.369835039426343881e+00
1.439412170410156250e+03 2.136356509692512645e+03 1.369541169482625165e+00
